lat,long,depth,mag,Number_of_Stations,mag_level,Intensity_Index
-12.23,167.02,242,6,132,High,792
-18.82,182.21,417,5.6,129,High,722.4
-15.33,186.75,48,5.7,123,High,701.1
-15.56,167.62,127,6.4,122,High,780.8000000000001
-20.25,184.75,107,5.6,121,High,677.5999999999999
-21.08,180.85,627,5.9,119,High,702.1
-21.59,170.56,165,6,119,High,714
-22.91,183.95,64,5.9,118,High,696.2
-17.85,181.44,589,5.6,115,High,644
-17.84,181.3,535,5.7,112,High,638.4
-19.33,186.16,44,5.4,110,Medium,594
-15.93,167.91,183,5.6,109,High,610.4
-23.34,184.5,56,5.7,106,High,604.2
-19.89,184.08,219,5.4,105,Medium,567
-18.14,180.87,624,5.5,105,High,577.5
-22.13,180.38,577,5.7,104,High,592.8000000000001
-21.11,181.5,538,5.5,104,High,572
-18,180.62,636,5,100,Medium,500
-19.89,174.46,546,5.7,99,High,564.3000000000001
-26,182.12,205,5.6,98,High,548.8
-15.36,186.71,130,5.5,95,High,522.5
-20.7,169.92,139,6.1,94,High,573.4
-11.4,166.07,93,5.6,94,High,526.4
-13.45,170.3,641,5.3,93,Medium,492.9
-20.9,184.28,58,5.5,92,High,506
-15.46,187.81,40,5.5,91,High,500.5
-20.85,181.59,499,5.1,91,Medium,464.09999999999997
-17.64,177.01,545,5.2,91,Medium,473.2
-32.22,180.2,216,5.7,90,High,513
-17.72,181.42,565,5.3,89,Medium,471.7
-27.98,181.96,53,5.2,89,Medium,462.8
-18.12,181.88,649,5.4,88,Medium,475.20000000000005
-23.6,183.99,118,5.4,88,Medium,475.20000000000005
-23.53,179.99,538,5.4,87,Medium,469.8
-15.95,167.34,47,5.4,87,Medium,469.8
-14.46,167.26,195,5.2,87,Medium,452.40000000000003
-37.03,177.52,153,5.6,87,High,487.2
-15.9,167.42,40,5.5,86,High,473
-24.18,179.02,550,5.3,86,Medium,455.8
-21.13,185.6,85,5.3,86,Medium,455.8
-20.47,185.68,93,5.4,85,Medium,459.00000000000006
-13.64,165.96,50,6,83,High,498
-18.6,181.91,442,5.4,82,Medium,442.8
-17.1,182.68,403,5.5,82,High,451
-20.56,184.41,138,5,82,Medium,410
-32.45,181.15,41,5.5,81,High,445.5
-21.55,181.39,513,5.1,81,Medium,413.09999999999997
-15.99,167.95,190,5.3,81,Medium,429.3
-24.57,178.4,562,5.6,80,High,448
-11.54,166.18,89,5.4,80,Medium,432
-16.46,180.79,498,5.2,79,Medium,410.8
-23.58,183.4,94,5.2,79,Medium,410.8
-34.68,179.82,75,5.6,79,High,442.4
-17.59,180.98,548,5.1,79,Medium,402.9
-21.92,182.8,273,5.3,78,Medium,413.4
-21.08,181.3,557,4.9,78,Medium,382.20000000000005
-21.14,174.21,40,5.7,78,High,444.6
-35.94,178.52,138,5.5,78,High,429
-21.19,181.58,490,5,77,Medium,385
-22.55,185.9,42,5.7,76,High,433.2
-23.74,179.99,506,5.2,75,Medium,390
-17.1,185.9,127,5.4,75,Medium,405
-17.72,180.3,595,5.2,74,Medium,384.8
-18.51,182.64,405,5.2,74,Medium,384.8
-21.29,185.8,69,4.9,74,Medium,362.6
-23.75,184.5,54,5.2,74,Medium,384.8
-18.97,185.25,129,5.1,73,Medium,372.29999999999995
-19.89,183.84,244,5.3,73,Medium,386.9
-15.77,167.01,64,5.5,73,High,401.5
-19.02,184.23,270,5.1,72,Medium,367.2
-18.08,180.7,628,5.2,72,Medium,374.40000000000003
-22.41,183.99,128,5.2,72,Medium,374.40000000000003
-20.02,184.09,234,5.3,71,Medium,376.3
-22.54,172.91,54,5.5,71,High,390.5
-23.78,180.31,518,5.1,71,Medium,362.09999999999997
-17.74,186.78,104,5.1,71,Medium,362.09999999999997
-13.7,166.75,46,5.3,71,Medium,376.3
-38.28,177.1,100,5.4,71,Medium,383.40000000000003
-13.26,167.01,213,5.1,70,Medium,357
-21.57,183.86,156,5.1,70,Medium,357
-13.8,166.53,42,5.5,70,High,385
-26.53,178.57,600,5,69,Medium,345
-21.79,183.48,210,5.2,69,Medium,358.8
-18.21,180.87,631,5.2,69,Medium,358.8
-21.29,185.77,57,5.3,69,Medium,365.7
-14.12,166.64,63,5.3,69,Medium,365.7
-16.14,187.32,42,5.1,68,Medium,346.79999999999995
-13.05,169.58,644,4.9,68,Medium,333.20000000000005
-27.19,182.18,69,5.4,68,Medium,367.20000000000005
-30.17,182.02,56,5.5,68,High,374
-16.24,167.95,188,5.1,68,Medium,346.79999999999995
-22.55,183.81,82,5.1,68,Medium,346.79999999999995
-17.98,181.51,586,5.2,68,Medium,353.6
-13.66,172.23,46,5.3,67,Medium,355.09999999999997
-21.98,179.6,583,5.4,67,Medium,361.8
-17.71,181.18,574,5.2,67,Medium,348.40000000000003
-18.8,182.41,385,5.2,67,Medium,348.40000000000003
-27.64,182.22,162,5.1,67,Medium,341.7
-27.89,182.92,87,5.5,67,High,368.5
-20.82,181.67,577,5,67,Medium,335
-21.96,180.54,603,5.2,66,Medium,343.2
-34.02,180.21,75,5.2,65,Medium,338
-26.18,178.59,548,5.4,65,Medium,351
-37.93,177.47,65,5.4,65,Medium,351
-18.07,181.58,603,5,65,Medium,325
-19.02,186.83,45,5.2,65,Medium,338
-19.3,183,302,5,65,Medium,325
-20.05,183.86,243,4.9,65,Medium,318.5
-20.64,182.02,497,5.2,64,Medium,332.8
-20.93,181.54,564,5,64,Medium,320
-26.72,182.69,162,5.2,64,Medium,332.8
-10.96,165.97,76,4.9,64,Medium,313.6
-23.58,180.17,462,5.3,63,Medium,333.9
-21.68,180.63,617,5,63,Medium,315
-28.83,181.66,221,5.1,63,Medium,321.29999999999995
-23.61,180.27,537,5,63,Medium,315
-17.67,187.09,45,4.9,62,Medium,303.8
-13.82,172.38,613,5,61,Medium,305
-15.48,167.53,128,5.1,61,Medium,311.09999999999997
-23.36,180.01,553,5.3,61,Medium,323.3
-17.59,181.09,536,5.1,61,Medium,311.09999999999997
-20.24,185.1,86,5.1,61,Medium,311.09999999999997
-29.33,182.72,57,5.4,61,Medium,329.40000000000003
-22.04,183.95,109,5.4,61,Medium,329.40000000000003
-28.98,181.11,304,5.3,60,Medium,318
-18.92,169.37,248,5.3,60,Medium,318
-25.63,180.26,464,4.8,60,Medium,288
-27.72,181.7,94,4.8,59,Medium,283.2
-23.33,180.18,528,5,59,Medium,295
-15.18,167.23,71,5.2,59,Medium,306.8
-23.49,179.07,544,5.1,58,Medium,295.79999999999995
-22.1,179.71,579,5.1,58,Medium,295.79999999999995
-19.66,180.28,431,5.4,57,Medium,307.8
-15.24,186.21,158,5,57,Medium,285
-12.93,169.63,641,5.1,57,Medium,290.7
-15.36,186.66,112,5.1,57,Medium,290.7
-22.24,184.56,99,4.8,57,Medium,273.59999999999997
-18.48,182.37,376,4.8,57,Medium,273.59999999999997
-18.35,185.27,201,4.7,57,Medium,267.90000000000003
-17.95,181.73,583,4.7,57,Medium,267.90000000000003
-19.13,182.51,579,5.2,56,Medium,291.2
-17.78,181.53,511,4.8,56,Medium,268.8
-28.56,183.47,48,4.8,56,Medium,268.8
-21.6,169.9,43,5.2,56,Medium,291.2
-15.24,185.11,262,4.9,56,Medium,274.40000000000003
-23.73,182.53,232,5,55,Medium,275
-12.49,166.36,74,4.9,55,Medium,269.5
-11.41,166.24,83,5.3,55,Medium,291.5
-11.25,166.36,130,5.1,55,Medium,280.5
-21.71,183.58,234,4.7,55,Medium,258.5
-18.16,183.41,306,5.2,54,Medium,280.8
-19.85,181.85,576,4.9,54,Medium,264.6
-21.48,183.78,200,4.9,54,Medium,264.6
-19.77,181.4,630,5.1,54,Medium,275.4
-27.28,183.4,70,5.1,54,Medium,275.4
-15.65,186.26,64,5.1,54,Medium,275.4
-15,184.62,40,5.1,54,Medium,275.4
-22.23,180.48,581,5,54,Medium,270
-18.77,169.24,218,5.3,53,Medium,280.9
-14.6,167.4,178,4.8,52,Medium,249.6
-13.65,166.66,71,4.9,52,Medium,254.8
-18.2,183.68,107,4.8,52,Medium,249.6
-16.65,185.51,218,5,52,Medium,260
-18.1,181.72,544,4.6,52,Medium,239.2
-22.82,184.52,49,5,52,Medium,260
-14.28,167.26,211,5.1,51,Medium,260.09999999999997
-29.9,181.16,215,5.1,51,Medium,260.09999999999997
-16.62,186.74,82,4.8,51,Medium,244.79999999999998
-18.04,181.57,587,5,51,Medium,255
-21.4,180.78,615,4.7,51,Medium,239.70000000000002
-22.33,171.66,125,5.2,51,Medium,265.2
-22.64,180.64,544,5,50,Medium,250
-20.6,182.28,529,5,50,Medium,250
-22.87,172.65,56,5.1,50,Medium,254.99999999999997
-23.29,184,164,4.8,50,Medium,240
-20.54,181.66,559,4.9,50,Medium,245.00000000000003
-26.5,178.29,609,5,50,Medium,250
-24.97,179.54,505,4.9,50,Medium,245.00000000000003
-23.39,179.97,541,4.6,50,Medium,229.99999999999997
-23.92,180.21,524,4.6,50,Medium,229.99999999999997
-20.88,184.95,82,4.9,50,Medium,245.00000000000003
-18.48,181.49,641,5,49,Medium,245
-17.79,181.32,587,5,49,Medium,245
-22.19,171.4,150,5.1,49,Medium,249.89999999999998
-23.73,179.99,527,5.1,49,Medium,249.89999999999998
-14.32,167.33,204,5,49,Medium,245
-20.04,182.01,605,5.1,49,Medium,249.89999999999998
-17.99,181.57,579,4.9,49,Medium,240.10000000000002
-23.31,179.27,566,5.1,49,Medium,249.89999999999998
-20.06,168.69,49,5.1,49,Medium,249.89999999999998
-21.22,181.51,524,4.8,49,Medium,235.2
-31.03,181.59,57,5.2,49,Medium,254.8
-19.34,186.59,56,5.2,49,Medium,254.8
-14.82,171.17,658,4.7,49,Medium,230.3
-28.22,183.6,75,4.9,49,Medium,240.10000000000002
-22.43,184.48,65,4.9,48,Medium,235.20000000000002
-20.43,182.37,502,5.1,48,Medium,244.79999999999998
-25.59,180.02,485,4.9,48,Medium,235.20000000000002
-19.19,182.3,390,4.9,48,Medium,235.20000000000002
-24.04,184.85,70,5,48,Medium,240
-18.78,186.72,68,4.8,48,Medium,230.39999999999998
-17.8,181.38,587,5.1,47,Medium,239.7
-16.4,185.86,148,5,47,Medium,235
-12.72,166.28,70,4.8,47,Medium,225.6
-22.04,184.91,47,4.9,47,Medium,230.3
-12.34,167.43,50,5.1,47,Medium,239.7
-33.09,180.94,47,4.9,47,Medium,230.3
-13.23,167.1,220,5,46,Medium,230
-16.51,187.1,62,4.9,46,Medium,225.4
-21.47,185.86,55,4.9,46,Medium,225.4
-21.96,179.62,627,5,45,Medium,225
-13.66,166.54,50,5.1,45,Medium,229.49999999999997
-21.04,181.2,591,4.9,45,Medium,220.50000000000003
-10.78,166.1,195,4.9,45,Medium,220.50000000000003
-23.95,184.64,43,5.4,45,Medium,243.00000000000003
-32.6,180.9,57,4.7,44,Medium,206.8
-20.58,181.24,602,4.7,44,Medium,206.8
-26.18,179.79,460,4.7,44,Medium,206.8
-15.44,167.18,140,4.6,44,Medium,202.39999999999998
-38.46,176.03,148,4.6,44,Medium,202.39999999999998
-15.4,186.87,78,4.7,44,Medium,206.8
-24.33,179.97,510,4.8,44,Medium,211.2
-20.89,185.26,54,5.1,44,Medium,224.39999999999998
-26,184.1,42,5.4,43,Medium,232.20000000000002
-11.7,166.1,82,4.8,43,Medium,206.4
-17.93,167.89,49,5.1,43,Medium,219.29999999999998
-12.66,169.46,658,4.6,43,Medium,197.79999999999998
-22.34,171.52,106,5,43,Medium,215
-23.79,179.89,526,4.9,43,Medium,210.70000000000002
-21.07,181.13,594,4.9,43,Medium,210.70000000000002
-24.5,180.92,377,4.8,43,Medium,206.4
-18.17,181.98,651,4.8,43,Medium,206.4
-30.01,180.8,286,4.8,43,Medium,206.4
-26.53,178.3,605,4.9,43,Medium,210.70000000000002
-17.97,181.48,578,4.7,43,Medium,202.1
-21.85,180.89,577,4.6,43,Medium,197.79999999999998
-28.05,182.39,117,5.1,43,Medium,219.29999999999998
-15.55,185.05,292,4.8,42,Medium,201.6
-21.27,173.49,48,4.9,42,Medium,205.8
-30.66,180.13,411,4.7,42,Medium,197.4
-19.1,183.87,61,5.3,42,Medium,222.6
-17.74,181.31,575,4.6,42,Medium,193.2
-15.9,167.16,41,4.8,42,Medium,201.6
-20.81,185.01,79,4.7,42,Medium,197.4
-20.64,169.66,89,4.9,42,Medium,205.8
-15.78,167.44,40,4.8,42,Medium,201.6
-20.42,181.62,562,4.8,41,Medium,196.79999999999998
-23.43,180,553,4.7,41,Medium,192.70000000000002
-25.68,180.34,434,4.6,41,Medium,188.6
-32.2,179.61,422,4.6,41,Medium,188.6
-18.13,181.52,618,4.6,41,Medium,188.6
-24.96,180.22,470,4.8,41,Medium,196.79999999999998
-34.12,181.75,75,4.7,41,Medium,192.70000000000002
-23.46,180.11,539,5,41,Medium,205
-15.97,186.08,143,4.6,41,Medium,188.6
-18.97,169.44,242,5,41,Medium,205
-13.79,166.56,68,4.7,41,Medium,192.70000000000002
-20.68,181.41,593,4.9,40,Medium,196
-19.68,184.14,242,4.8,40,Medium,192
-10.79,166.06,142,5,40,Medium,200
-23.82,180.09,498,4.8,40,Medium,192
-24.97,182.85,137,4.8,40,Medium,192
-19.36,186.36,100,4.7,40,Medium,188
-19.3,185.86,48,5,40,Medium,200
-21.52,169.75,61,5.1,40,Medium,204
-25.81,182.54,201,4.7,40,Medium,188
-23.5,180.13,512,4.8,40,Medium,192
-26.11,178.3,617,4.8,39,Medium,187.2
-20.65,181.32,597,4.7,39,Medium,183.3
-22.36,171.65,130,4.6,39,Medium,179.39999999999998
-18.18,180.63,639,4.6,39,Medium,179.39999999999998
-31.94,180.57,168,4.7,39,Medium,183.3
-32.42,181.21,47,4.9,39,Medium,191.10000000000002
-15.79,166.83,45,4.6,39,Medium,179.39999999999998
-19.57,182.38,579,4.6,38,Medium,174.79999999999998
-22.5,170.4,106,4.9,38,Medium,186.20000000000002
-20.33,168.71,40,4.8,38,Medium,182.4
-21.57,185.62,66,4.9,38,Medium,186.20000000000002
-22.37,171.5,116,4.9,38,Medium,186.20000000000002
-17.99,181.62,574,4.8,38,Medium,182.4
-34.2,179.43,40,5,37,Medium,185
-26.17,184.2,65,4.9,37,Medium,181.3
-20.21,182.37,482,4.6,37,Medium,170.2
-20.07,169.14,66,4.8,37,Medium,177.6
-23.47,180.24,511,4.8,37,Medium,177.6
-15.45,186.73,83,4.7,37,Medium,173.9
-21.13,185.32,123,4.7,36,Medium,169.20000000000002
-21.38,181.39,501,4.6,36,Medium,165.6
-27,183.88,56,4.9,36,Medium,176.4
-11.63,166.14,109,4.6,36,Medium,165.6
-18.89,184.46,242,4.8,36,Medium,172.79999999999998
-16.1,167.25,68,4.7,36,Medium,169.20000000000002
-23.28,184.61,76,4.7,36,Medium,169.20000000000002
-12.05,167.39,332,5,36,Medium,180
-20.72,181.41,595,4.6,36,Medium,165.6
-18.26,180.98,631,4.8,36,Medium,172.79999999999998
-38.59,175.7,162,4.7,36,Medium,169.20000000000002
-23.8,184.7,42,5,36,Medium,180
-25.42,182.65,102,5,36,Medium,180
-12.01,166.66,99,4.8,36,Medium,172.79999999999998
-11.02,167.01,62,4.9,36,Medium,176.4
-28.74,181.74,211,4.7,35,Medium,164.5
-20.69,181.55,582,4.7,35,Medium,164.5
-36.95,177.81,146,5,35,Medium,175
-35.48,179.9,59,4.8,35,Medium,168
-18.56,169.31,223,4.7,35,Medium,164.5
-16.23,183.59,367,4.7,35,Medium,164.5
-19.18,169.33,254,4.7,35,Medium,164.5
-22.09,180.38,590,4.9,35,Medium,171.5
-25.31,179.69,507,4.6,35,Medium,161
-33.57,180.8,51,4.7,35,Medium,164.5
-18.85,187.55,44,4.8,35,Medium,168
-12.84,166.78,150,4.9,35,Medium,171.5
-22.75,170.99,67,4.8,35,Medium,168
-19.64,169.5,204,4.6,35,Medium,161
-23.73,184.49,60,4.7,35,Medium,164.5
-18.56,169.05,217,4.9,35,Medium,171.5
-12.28,167.06,248,4.7,35,Medium,164.5
-37.37,176.78,263,4.7,34,Medium,159.8
-30.1,182.3,56,4.9,34,Medium,166.60000000000002
-24.34,179.52,504,4.8,34,Medium,163.2
-19.4,180.94,664,4.7,34,Medium,159.8
-16.09,184.89,304,4.6,34,Medium,156.39999999999998
-26.54,183.63,66,4.7,34,Medium,159.8
-23.28,184.6,44,4.8,34,Medium,163.2
-17.56,181.59,543,4.6,34,Medium,156.39999999999998
-19.61,181.91,590,4.6,34,Medium,156.39999999999998
-21.24,180.81,605,4.6,34,Medium,156.39999999999998
-27.87,183.4,87,4.7,34,Medium,159.8
-24.57,179.92,484,4.7,33,Medium,155.1
-26.16,178.47,537,4.8,33,Medium,158.4
-17.97,168.52,146,4.8,33,Medium,158.4
-17.7,181.31,549,4.7,33,Medium,155.1
-20.48,169.76,134,4.6,33,Medium,151.79999999999998
-33.29,181.3,60,4.7,33,Medium,155.1
-25.48,180.94,390,4.6,33,Medium,151.79999999999998
-22.42,171.4,86,4.7,33,Medium,155.1
-16,184.53,108,4.7,33,Medium,155.1
-15.31,186.1,96,4.6,32,Medium,147.2
-11.49,166.22,84,4.6,32,Medium,147.2
-21.5,170.5,117,4.7,32,Medium,150.4
-35.56,180.2,42,4.6,32,Medium,147.2
-30.28,180.62,350,4.7,32,Medium,150.4
-20.9,181.51,548,4.7,32,Medium,150.4
-23.46,180.17,541,4.6,32,Medium,147.2
-23.89,182.39,243,4.7,32,Medium,150.4
-23.07,184.03,89,4.7,32,Medium,150.4
-28.15,183.4,57,5,32,Medium,160
-26.02,181.2,361,4.7,32,Medium,150.4
-22.33,171.46,119,4.7,32,Medium,150.4
-25.04,179.84,474,4.6,32,Medium,147.2
-25.2,182.6,149,4.9,31,Medium,151.9
-20.9,169.84,93,4.9,31,Medium,151.9
-19.62,185.35,57,4.9,31,Medium,151.9
-20.92,181.5,546,4.6,31,Medium,142.6
-15.29,186.42,153,4.6,31,Medium,142.6
-19.14,184.36,269,4.7,31,Medium,145.70000000000002
-23.93,180.18,525,4.6,31,Medium,142.6
-19.1,169.63,266,4.8,31,Medium,148.79999999999998
-22.03,179.77,587,4.8,31,Medium,148.79999999999998
-12,166.2,94,5,31,Medium,155
-16.32,166.74,50,4.7,30,Medium,141
-21.88,180.39,608,4.7,30,Medium,141
-23.71,180.3,510,4.6,30,Medium,138
-11.34,166.24,103,4.6,30,Medium,138
-13.86,167.16,202,4.6,30,Medium,138
-16.52,185.7,90,4.7,30,Medium,141
-16.44,185.74,126,4.7,30,Medium,141
-15.87,188.13,52,5,30,Medium,150
-16.1,185.32,257,4.7,30,Medium,141
-18.49,169.04,211,4.8,30,Medium,144
-16.99,187,70,4.7,30,Medium,141
-24.68,183.33,70,4.7,30,Medium,141
-15.61,187.15,49,5,30,Medium,150
-13.62,167.15,209,4.7,30,Medium,141
-20.63,181.61,599,4.6,30,Medium,138
-16.21,186.52,111,4.8,30,Medium,144
-21.75,180.67,595,4.6,30,Medium,138
-21.53,170.52,129,5.2,30,Medium,156
-23.08,183.45,90,4.7,30,Medium,141
-19.94,182.39,544,4.6,30,Medium,138
-21.33,180.69,636,4.6,29,Medium,133.39999999999998
-15.85,185.13,290,4.6,29,Medium,133.39999999999998
-24.4,179.85,522,4.7,29,Medium,136.3
-23.3,179.7,500,4.7,29,Medium,136.3
-21.54,185.48,51,5,29,Medium,145
-21.05,184.68,136,4.7,29,Medium,136.3
-14.28,170.34,642,4.7,29,Medium,136.3
-17.38,168.63,209,4.7,29,Medium,136.3
-14.1,166.01,69,4.8,29,Medium,139.2
-14.65,166.97,82,4.8,28,Medium,134.4
-18.11,181.67,597,4.6,28,Medium,128.79999999999998
-14.82,167.32,123,4.8,28,Medium,134.4
-12.25,166.6,219,5,28,Medium,140
-15.36,167.51,123,4.7,28,Medium,131.6
-33,182.4,176,4.6,28,Medium,128.79999999999998
-23.46,180.09,543,4.6,28,Medium,128.79999999999998
-11.81,165.98,51,4.7,28,Medium,131.6
-15.17,187.2,50,4.7,28,Medium,131.6
-22.06,180.47,587,4.6,28,Medium,128.79999999999998
-20.41,186.51,63,5,28,Medium,140
-17.99,168.98,234,4.7,28,Medium,131.6
-12.57,167.11,231,4.8,28,Medium,134.4
-20.88,185.18,51,4.6,28,Medium,128.79999999999998
-19.23,169.41,246,4.6,27,Medium,124.19999999999999
-22.05,180.4,606,4.7,27,Medium,126.9
-15.02,184.24,339,4.6,27,Medium,124.19999999999999
-23.85,182.53,204,4.6,27,Medium,124.19999999999999
-13.44,166.53,44,4.7,27,Medium,126.9
-12.01,166.29,59,4.9,27,Medium,132.3
-27.17,183.68,44,4.8,27,Medium,129.6
-32.9,181.6,169,4.6,27,Medium,124.19999999999999
-23.44,184.6,63,4.8,27,Medium,129.6
-20.95,181.42,559,4.6,27,Medium,124.19999999999999
-33.03,180.2,186,4.6,27,Medium,124.19999999999999
-22.87,171.72,47,4.6,27,Medium,124.19999999999999
-26,178.43,644,4.9,27,Medium,132.3
-20.07,181.75,582,4.7,27,Medium,126.9
-27.84,182.1,193,4.8,27,Medium,129.6
-23.7,184.13,51,4.8,27,Medium,129.6
-27.08,183.44,63,4.7,27,Medium,126.9
-23.3,184.68,102,4.9,27,Medium,132.3
-22.7,170.3,69,4.8,27,Medium,129.6
-22.75,173.2,46,4.6,26,Medium,119.6
-10.97,166.26,180,4.7,26,Medium,122.2
-32.62,181.5,55,4.8,26,Medium,124.8
-12.59,167.1,325,4.9,26,Medium,127.4
-32.82,179.8,176,4.7,26,Medium,122.2
-17.1,184.93,286,4.7,25,Medium,117.5
-26.2,178.41,583,4.6,25,Medium,114.99999999999999
-17.44,181.4,529,4.6,25,Medium,114.99999999999999
-25.5,182.82,124,5,25,Medium,125
-16.03,185.43,297,4.8,25,Medium,120
-30.69,182.1,62,4.9,25,Medium,122.50000000000001
-14.3,167.32,208,4.8,25,Medium,120
-15.86,166.98,60,4.8,25,Medium,120
-24.27,179.88,523,4.6,24,Medium,110.39999999999999
-30.8,182.16,41,4.7,24,Medium,112.80000000000001
-16.28,166.94,50,4.6,24,Medium,110.39999999999999
-34.63,179.1,278,4.7,24,Medium,112.80000000000001
-18.12,181.71,594,4.6,24,Medium,110.39999999999999
-11.37,166.55,188,4.7,24,Medium,112.80000000000001
-18.64,169.32,260,4.6,23,Medium,105.8
-16.96,167.7,45,4.7,23,Medium,108.10000000000001
-29.09,183.2,54,4.6,23,Medium,105.8
-15.08,166.62,42,4.7,23,Medium,108.10000000000001
-20.09,168.75,50,4.6,23,Medium,105.8
-21.24,180.86,615,4.9,23,Medium,112.7
-23.5,180,550,4.7,23,Medium,108.10000000000001
-24.1,184.5,68,4.7,23,Medium,108.10000000000001
-30.2,182,125,4.7,22,Medium,103.4
-13.36,167.06,236,4.7,22,Medium,103.4
-33,181.6,72,4.7,22,Medium,103.4
-20.24,169.49,100,4.6,22,Medium,101.19999999999999
-26.78,183.61,40,4.6,22,Medium,101.19999999999999
-23.33,180.26,530,4.7,22,Medium,103.4
-27.6,182.1,154,4.6,22,Medium,101.19999999999999
-21.44,170.45,166,5.1,22,Medium,112.19999999999999
-22.1,185.3,50,4.6,22,Medium,101.19999999999999
-21.35,170.04,56,5,22,Medium,110
-14.86,167.32,137,4.9,22,Medium,107.80000000000001
-30.39,182.4,63,4.6,22,Medium,101.19999999999999
-22.58,179.24,553,4.6,21,Medium,96.6
-27.27,182.36,65,4.7,21,Medium,98.7
-27.18,182.53,60,4.6,21,Medium,96.6
-11.67,166.02,102,4.6,21,Medium,96.6
-21.78,183.11,225,4.6,21,Medium,96.6
-22.95,170.56,42,4.7,21,Medium,98.7
-22,180.53,583,4.9,20,Medium,98
-10.78,165.77,93,4.6,20,Medium,92
-15.03,167.32,136,4.6,20,Medium,92
-13.84,170.62,638,4.6,20,Medium,92
-30.04,181.2,49,4.8,20,Medium,96
-15.71,166.91,58,4.8,20,Medium,96
-20.89,181.25,599,4.6,20,Medium,92
-23,170.7,43,4.9,20,Medium,98
-11.64,166.47,130,4.7,19,Medium,89.3
-19.7,186.2,47,4.8,19,Medium,91.2
-22.28,183.52,90,4.7,19,Medium,89.3
-20.1,186.3,63,4.6,19,Medium,87.39999999999999
-20.04,181.87,577,4.7,19,Medium,89.3
-14.72,167.51,155,4.6,18,Medium,82.8
-15.5,186.9,46,4.7,18,Medium,84.60000000000001
-13.34,166.2,67,4.8,18,Medium,86.39999999999999
-16.45,167.54,125,4.6,18,Medium,82.8
-28.1,182.25,68,4.6,18,Medium,82.8
-21.23,181.09,613,4.6,18,Medium,82.8
-15.34,167.1,128,5.3,18,Medium,95.39999999999999
-22.55,183.34,66,4.6,18,Medium,82.8
-17.64,181.28,574,4.6,17,Medium,78.19999999999999
-16.45,177.77,138,4.6,17,Medium,78.19999999999999
-27.1,182.18,43,4.7,17,Medium,79.9
-23.92,184.47,40,4.7,17,Medium,79.9
-23.11,179.15,564,4.7,17,Medium,79.9
-12.26,167,249,4.6,16,Medium,73.6
-15.54,167.68,140,4.7,16,Medium,75.2
-14.7,166,48,5.3,16,Medium,84.8
-14.95,167.24,130,4.6,16,Medium,73.6
-23.5,184.9,61,4.7,16,Medium,75.2
-21.09,181.38,555,4.6,15,Medium,69
-20.76,185.77,118,4.6,15,Medium,69
-28.96,182.61,54,4.6,15,Medium,69
-13.4,166.9,228,4.8,15,Medium,72
-13.47,172.29,64,4.7,14,Medium,65.8
-23.95,182.8,199,4.6,14,Medium,64.39999999999999
-19.83,182.54,524,4.6,14,Medium,64.39999999999999
-22.33,171.51,112,4.6,14,Medium,64.39999999999999
-27.38,181.7,80,4.8,13,Medium,62.4
-22.16,180.49,586,4.6,13,Medium,59.8
-20.3,181.4,608,4.6,13,Medium,59.8
-16.24,168.02,53,4.7,12,Medium,56.400000000000006
-17.87,182,569,4.6,12,Medium,55.199999999999996
-20.61,182.6,488,4.6,12,Medium,55.199999999999996
-27.6,182.4,61,4.6,11,Medium,50.599999999999994
-23.73,179.98,524,4.6,11,Medium,50.599999999999994
-27.21,182.43,55,4.6,10,Medium,46
